image,label
107103.jpg,congenital hypertrophy of the retinal pigment epithelium (chrpe)
74752.jpg,congenital hypertrophy of the retinal pigment epithelium (chrpe)
29886.jpg,congenital toxoplasmosis
27857.jpg,susac's syndrome
6898.jpg,stargardt disease
33146.jpg,coats' disease
133485.jpg,congenital hypertrophy of the retinal pigment epithelium (chrpe)
3273.jpg,best disease
16760.jpg,retinoblastoma
25073.jpg,retinoblastoma
16453.jpg,macular dystrophy
27672.jpg,best disease
89214.jpg,presumed ocular histoplasmosis syndrome (pohs)
5473.jpg,geographic atrophy
3360.jpg,stargardt disease
28335.jpg,optic atrophy
24812.jpg,multiple evanescent white dot syndrome (mewds)
27099.jpg,retinoblastoma
28110.jpg,morning glory syndrome
37243.jpg,central areolar choroidal dystrophy (cacd)
27350.jpg,susac's syndrome
27230.jpg,congenital toxoplasmosis
3388.jpg,choroideremia
46646.jpg,retinoblastoma
131128.jpg,retinoschisis
24870.jpg,coats' disease
39384.jpg,multiple evanescent white dot syndrome (mewds)
18049.jpg,retinitis pigmentosa
36205.jpg,geographic atrophy
19766.jpg,retinitis pigmentosa
132807.jpg,familial exudative vitreoretinopathy (fevr)
28787.jpg,presumed ocular histoplasmosis syndrome (pohs)
17874.jpg,macular dystrophy
29814.jpg,retinoblastoma
28333.jpg,optic atrophy
28131.jpg,coats' disease
17873.jpg,macular dystrophy
27853.jpg,susac's syndrome
25539.jpg,coats' disease
16454.jpg,macular dystrophy
31125.jpg,morning glory syndrome
79899.jpg,retinoblastoma
130506.jpg,stargardt disease
43555.jpg,coats' disease
4999.jpg,white dot syndrome
25866.jpg,retinoblastoma
85105.jpg,stargardt disease
55964.jpg,congenital hypertrophy of the retinal pigment epithelium (chrpe)
5034.jpg,stargardt disease
27212.jpg,retinitis pigmentosa
18044.jpg,retinitis pigmentosa
1395.jpg,familial exudative vitreoretinopathy (fevr)
30043.jpg,coats' disease
100882.jpg,macular dystrophy
24989.jpg,geographic atrophy
419.jpg,presumed ocular histoplasmosis syndrome (pohs)
16759.jpg,retinoblastoma
4953.jpg,presumed ocular histoplasmosis syndrome (pohs)
26551.jpg,congenital hypertrophy of the retinal pigment epithelium (chrpe)
25707.jpg,congenital optic nerve pit
27067.jpg,choroideremia
37217.jpg,coats' disease
59157.jpg,stargardt disease
5385.jpg,coats' disease
27072.jpg,coats' disease
6251.jpg,stargardt disease
3066.jpg,congenital optic nerve pit
23977.jpg,susac's syndrome
31124.jpg,morning glory syndrome
28703.jpg,congenital hypertrophy of the retinal pigment epithelium (chrpe)
16578.jpg,retinitis pigmentosa
28471.jpg,congenital optic nerve pit
89215.jpg,presumed ocular histoplasmosis syndrome (pohs)
133820.jpg,retinitis pigmentosa
3333.jpg,multiple evanescent white dot syndrome (mewds)
133616.jpg,coats' disease
74731.jpg,familial exudative vitreoretinopathy (fevr)
3340.jpg,stargardt disease
27548.jpg,retinoblastoma
30095.jpg,morning glory syndrome
81988.jpg,stargardt disease
26974.jpg,coats' disease
77837.jpg,retinoblastoma
50747.jpg,congenital optic nerve pit
121822.jpg,coats' disease
131127.jpg,retinoschisis
27521.jpg,familial exudative vitreoretinopathy (fevr)
16577.jpg,retinitis pigmentosa
19763.jpg,retinitis pigmentosa
24808.jpg,multiple evanescent white dot syndrome (mewds)
28796.jpg,retinoblastoma
133569.jpg,congenital toxoplasmosis
25684.jpg,familial exudative vitreoretinopathy (fevr)
39394.jpg,white dot syndrome
21711.jpg,choroideremia
95629.jpg,coats' disease
10711.jpg,central areolar choroidal dystrophy (cacd)
1195.jpg,retinoblastoma
25710.jpg,congenital optic nerve pit
